year,County,fruit_name,Production
2019,澎湖縣,其他雜柑類,0.0
2019,基隆市,其他雜柑類,0.238
2019,新竹市,其他雜柑類,5.189
2019,嘉義市,其他雜柑類,0.0
2019,福建省,其他雜柑類,NULL
2019,金門縣,其他雜柑類,0.0
2019,連江縣,其他雜柑類,0.0
2019,新北市,龍眼,2.37
2019,台北市,龍眼,8.862
2019,桃園市,龍眼,0.125
2019,台中市,龍眼,6142.813
2019,台南市,龍眼,3787.627
2019,高雄市,龍眼,1605.435
2019,臺灣省,龍眼,NULL
2019,宜蘭縣,龍眼,58.875
2019,新竹縣,龍眼,31.208
2019,苗栗縣,龍眼,269.941
2019,彰化縣,龍眼,2071.747
2019,南投縣,龍眼,1316.373
2019,雲林縣,龍眼,177.127
2019,嘉義縣,龍眼,2517.755
2019,屏東縣,龍眼,25.104
2019,台東縣,龍眼,104.077
2019,花蓮縣,龍眼,15.731
2019,澎湖縣,龍眼,0.0
2019,基隆市,龍眼,0.0
2019,新竹市,龍眼,0.0
2019,嘉義市,龍眼,114.87
2019,福建省,龍眼,NULL
2019,金門縣,龍眼,0.705
2019,連江縣,龍眼,0.0
2019,新北市,芒果,10.316
2019,台北市,芒果,0.0
2019,桃園市,芒果,6.623
2019,台中市,芒果,1116.427
2019,台南市,芒果,78453.853
2019,高雄市,芒果,15192.336
2019,臺灣省,芒果,NULL
2019,宜蘭縣,芒果,89.079
2019,新竹縣,芒果,18.33
2019,苗栗縣,芒果,89.533
2019,彰化縣,芒果,1407.944
2019,南投縣,芒果,1189.901
2019,雲林縣,芒果,1033.979
2019,嘉義縣,芒果,3893.423
2019,屏東縣,芒果,61379.984
2019,台東縣,芒果,3232.274
2019,花蓮縣,芒果,333.216
2019,澎湖縣,芒果,0.0
2019,基隆市,芒果,0.48
2019,新竹市,芒果,10.34
2019,嘉義市,芒果,333.007
2019,福建省,芒果,NULL
2019,金門縣,芒果,0.0
2019,連江縣,芒果,0.0
2019,新北市,檳榔,2142.044
2019,台北市,檳榔,19.496
2019,桃園市,檳榔,18.389
2019,台中市,檳榔,3411.193
2019,台南市,檳榔,1317.895
2019,高雄市,檳榔,1590.462
2019,臺灣省,檳榔,NULL
2019,宜蘭縣,檳榔,312.018
2019,新竹縣,檳榔,695.734
2019,苗栗縣,檳榔,655.856
2019,彰化縣,檳榔,222.451
2019,南投縣,檳榔,33786.289
2019,雲林縣,檳榔,1952.544
2019,嘉義縣,檳榔,15817.318
2019,屏東縣,檳榔,30735.524
2019,台東縣,檳榔,3380.348
2019,花蓮縣,檳榔,7559.318
2019,澎湖縣,檳榔,0.0
2019,基隆市,檳榔,7.194
2019,新竹市,檳榔,0.0
2019,嘉義市,檳榔,142.802
2019,福建省,檳榔,NULL
2019,金門縣,檳榔,0.0
2019,連江縣,檳榔,0.0
2019,新北市,番石榴,596.753
2019,台北市,番石榴,30.255
2019,桃園市,番石榴,218.396
2019,台中市,番石榴,2311.434
2019,台南市,番石榴,33825.158
2019,高雄市,番石榴,64915.846
2019,臺灣省,番石榴,NULL
2019,宜蘭縣,番石榴,4562.682
2019,新竹縣,番石榴,333.045
2019,苗栗縣,番石榴,821.841
2019,彰化縣,番石榴,36002.525
2019,南投縣,番石榴,4447.78
2019,雲林縣,番石榴,6990.178
2019,嘉義縣,番石榴,7296.29
2019,屏東縣,番石榴,13642.919
2019,台東縣,番石榴,1748.434
2019,花蓮縣,番石榴,947.362
2019,澎湖縣,番石榴,31.052
2019,基隆市,番石榴,0.952
2019,新竹市,番石榴,52.482
2019,嘉義市,番石榴,246.545
2019,福建省,番石榴,NULL
2019,金門縣,番石榴,15.596
2019,連江縣,番石榴,0.0
2019,新北市,李,11.093
2019,台北市,李,0.0
2019,桃園市,李,17.2
2019,台中市,李,2050.708
2019,台南市,李,8.1
2019,高雄市,李,218.673
2019,臺灣省,李,NULL
2019,宜蘭縣,李,312.693
2019,新竹縣,李,309.318
2019,苗栗縣,李,2121.931
2019,彰化縣,李,13.6
2019,南投縣,李,1386.892
2019,雲林縣,李,2.0
2019,嘉義縣,李,114.105
2019,屏東縣,李,53.643
2019,台東縣,李,1218.959
2019,花蓮縣,李,250.863
2019,澎湖縣,李,0.0
2019,基隆市,李,0.0
2019,新竹市,李,0.0
2019,嘉義市,李,0.0
2019,福建省,李,NULL
2019,金門縣,李,0.0
2019,連江縣,李,0.0
2019,新北市,桃,25.208
2019,台北市,桃,0.0
2019,桃園市,桃,1244.985
2019,台中市,桃,10617.479
2019,台南市,桃,14.158
2019,高雄市,桃,289.021
2019,臺灣省,桃,NULL
2019,宜蘭縣,桃,275.42
2019,新竹縣,桃,1475.627
2019,苗栗縣,桃,591.841
2019,彰化縣,桃,82.546
2019,南投縣,桃,787.198
2019,雲林縣,桃,42.935
2019,嘉義縣,桃,282.398
2019,屏東縣,桃,43.17
2019,台東縣,桃,194.824
2019,花蓮縣,桃,204.263
2019,澎湖縣,桃,0.0
2019,基隆市,桃,0.07
2019,新竹市,桃,0.087
2019,嘉義市,桃,0.0
2019,福建省,桃,NULL
2019,金門縣,桃,0.0
2019,連江縣,桃,0.0
2019,新北市,柿,70.068
2019,台北市,柿,30.79
2019,桃園市,柿,418.5
2019,台中市,柿,27836.519
2019,台南市,柿,21.799
2019,高雄市,柿,112.652
2019,臺灣省,柿,NULL
2019,宜蘭縣,柿,234.843
2019,新竹縣,柿,1827.233
2019,苗栗縣,柿,3642.73
2019,彰化縣,柿,24.7
2019,南投縣,柿,846.929
2019,雲林縣,柿,101.232
2019,嘉義縣,柿,3370.631
2019,屏東縣,柿,0.72
2019,台東縣,柿,715.52
2019,花蓮縣,柿,267.3
2019,澎湖縣,柿,0.0
2019,基隆市,柿,0.0
2019,新竹市,柿,0.0
2019,嘉義市,柿,0.0
2019,福建省,柿,NULL
2019,金門縣,柿,0.0
2019,連江縣,柿,0.0
2019,新北市,木瓜,54.02
2019,台北市,木瓜,43.81
2019,桃園市,木瓜,62.209
2019,台中市,木瓜,620.621
2019,台南市,木瓜,36784.1
2019,高雄市,木瓜,13790.569
2019,臺灣省,木瓜,NULL
2019,宜蘭縣,木瓜,198.707
2019,新竹縣,木瓜,264.42
2019,苗栗縣,木瓜,1014.018
2019,彰化縣,木瓜,1516.502
2019,南投縣,木瓜,14296.04
2019,雲林縣,木瓜,9048.289
2019,嘉義縣,木瓜,9795.507
2019,屏東縣,木瓜,31366.001
2019,台東縣,木瓜,1572.606
2019,花蓮縣,木瓜,1228.786
2019,澎湖縣,木瓜,9.936
2019,基隆市,木瓜,0.0
2019,新竹市,木瓜,14.157
2019,嘉義市,木瓜,585.618
2019,福建省,木瓜,NULL
2019,金門縣,木瓜,5.637
2019,連江縣,木瓜,0.0
2019,新北市,蓮霧,1.12
2019,台北市,蓮霧,21.3
2019,桃園市,蓮霧,0.108
2019,台中市,蓮霧,133.593
2019,台南市,蓮霧,309.895
2019,高雄市,蓮霧,5770.688
2019,臺灣省,蓮霧,NULL
2019,宜蘭縣,蓮霧,1596.33
2019,新竹縣,蓮霧,16.594
2019,苗栗縣,蓮霧,14.031
2019,彰化縣,蓮霧,30.811
2019,南投縣,蓮霧,781.509
2019,雲林縣,蓮霧,190.603
2019,嘉義縣,蓮霧,3651.736
2019,屏東縣,蓮霧,44365.686
2019,台東縣,蓮霧,42.748
2019,花蓮縣,蓮霧,68.985
2019,澎湖縣,蓮霧,0.0
2019,基隆市,蓮霧,3.133
2019,新竹市,蓮霧,0.0
2019,嘉義市,蓮霧,15.0
2019,福建省,蓮霧,NULL
2019,金門縣,蓮霧,0.0
2019,連江縣,蓮霧,0.0
2019,新北市,葡萄,1.35
2019,台北市,葡萄,0.0
2019,桃園市,葡萄,174.452
2019,台中市,葡萄,14807.054
2019,台南市,葡萄,101.841
2019,高雄市,葡萄,101.95
2019,臺灣省,葡萄,NULL
2019,宜蘭縣,葡萄,37.251
2019,新竹縣,葡萄,10.26
2019,苗栗縣,葡萄,15578.546
2019,彰化縣,葡萄,47381.168
2019,南投縣,葡萄,10062.083
2019,雲林縣,葡萄,73.198
2019,嘉義縣,葡萄,160.497
2019,屏東縣,葡萄,28.513
2019,台東縣,葡萄,116.903
2019,花蓮縣,葡萄,0.0
2019,澎湖縣,葡萄,0.0
2019,基隆市,葡萄,0.0
2019,新竹市,葡萄,0.0
2019,嘉義市,葡萄,0.0
2019,福建省,葡萄,NULL
2019,金門縣,葡萄,0.0
2019,連江縣,葡萄,0.0
2019,新北市,枇杷,0.0
2019,台北市,枇杷,0.221
2019,桃園市,枇杷,56.088
2019,台中市,枇杷,3738.037
2019,台南市,枇杷,0.182
2019,高雄市,枇杷,3.26
2019,臺灣省,枇杷,NULL
2019,宜蘭縣,枇杷,39.48
2019,新竹縣,枇杷,4.72
2019,苗栗縣,枇杷,274.877
2019,彰化縣,枇杷,0.375
2019,南投縣,枇杷,430.316
2019,雲林縣,枇杷,1.012
2019,嘉義縣,枇杷,0.6
2019,屏東縣,枇杷,0.0
2019,台東縣,枇杷,603.87
2019,花蓮縣,枇杷,30.138
2019,澎湖縣,枇杷,0.0
2019,基隆市,枇杷,0.0
2019,新竹市,枇杷,0.0
2019,嘉義市,枇杷,0.0
2019,福建省,枇杷,NULL
2019,金門縣,枇杷,0.0
2019,連江縣,枇杷,0.0
2019,新北市,梅,1.446
2019,台北市,梅,1.845
2019,桃園市,梅,5.13
2019,台中市,梅,385.624
2019,台南市,梅,964.771
2019,高雄市,梅,2827.567
2019,臺灣省,梅,NULL
2019,宜蘭縣,梅,0.0
2019,新竹縣,梅,5.87
2019,苗栗縣,梅,147.215
2019,彰化縣,梅,1.662
2019,南投縣,梅,2112.579
2019,雲林縣,梅,51.48
2019,嘉義縣,梅,365.934
2019,屏東縣,梅,6.12
2019,台東縣,梅,1330.224
2019,花蓮縣,梅,62.331
2019,澎湖縣,梅,0.0
2019,基隆市,梅,0.0
2019,新竹市,梅,0.0
2019,嘉義市,梅,0.0
2019,福建省,梅,NULL
2019,金門縣,梅,0.0
2019,連江縣,梅,0.0
2019,新北市,荔枝,0.0
2019,台北市,荔枝,0.0
2019,桃園市,荔枝,0.0
2019,台中市,荔枝,6129.348
2019,台南市,荔枝,3284.846
2019,高雄市,荔枝,6872.595
2019,臺灣省,荔枝,NULL
2019,宜蘭縣,荔枝,10.817
2019,新竹縣,荔枝,21.819
2019,苗栗縣,荔枝,106.401
2019,彰化縣,荔枝,2608.874
2019,南投縣,荔枝,2047.248
2019,雲林縣,荔枝,231.327
2019,嘉義縣,荔枝,2395.305
2019,屏東縣,荔枝,789.034
2019,台東縣,荔枝,549.621
2019,花蓮縣,荔枝,2.586
2019,澎湖縣,荔枝,0.0
2019,基隆市,荔枝,0.0
2019,新竹市,荔枝,137.354
2019,嘉義市,荔枝,68.14
2019,福建省,荔枝,NULL
2019,金門縣,荔枝,0.018
2019,連江縣,荔枝,0.0
2019,新北市,橄欖,0.0
2019,台北市,橄欖,0.0
2019,桃園市,橄欖,7.04
2019,台中市,橄欖,120.722
2019,台南市,橄欖,86.949
2019,高雄市,橄欖,76.86
2019,臺灣省,橄欖,NULL
2019,宜蘭縣,橄欖,0.0
2019,新竹縣,橄欖,47.955
2019,苗栗縣,橄欖,186.062
2019,彰化縣,橄欖,7.995
2019,南投縣,橄欖,599.346
