fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
辣椒,2018,58.17,40.59,49.17,47.4,25.05,32.09,41.98,41.98,45.13,89.6,84.56,54.1,32.9
玉米筍,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜玉米,2018,29.74,19.95,17.61,12.78,9.61,10.29,16.51,16.51,25.14,26.51,27.02,19.66,11.79
蓮藕,2018,39.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,33.67,39.83,160.0,160.0
草莓,2018,192.33,197.67,130.55,103.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,180.01
洋菇,2018,96.11,95.84,94.45,140.0,140.0,-1.0,-1.0,-1.0,-1.0,97.5,122.33,109.56,110.39
香菇,2018,1516.67,1575.0,1541.67,1529.17,1525.0,1520.83,1520.83,1520.83,1537.5,1536.67,1525.83,1514.17,1504.17
香菇,2018,106.67,105.33,103.67,105.33,105.33,105.33,105.33,105.33,105.33,106.22,105.56,107.78,108.33
木耳,2018,69.17,67.75,63.17,65.67,59.0,46.0,58.32,58.32,63.88,72.22,75.0,74.56,60.77
鮑魚菇,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
杏鮑菇,2018,-1.0,-1.0,-1.0,-1.0,-1.0,56.89,59.78,59.78,65.33,73.56,75.22,77.0,74.67
菱角,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
葡萄柚,2018,20.0,22.5,21.67,15.67,-1.0,-1.0,-1.0,-1.0,-1.0,52.5,23.33,13.25,12.11
芒果,2018,-1.0,-1.0,-1.0,79.72,67.89,48.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,52.85,46.38,46.38,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,29.74,25.14,25.14,42.28,-1.0,-1.0,-1.0,-1.0
番石榴,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2018,25.11,19.8,24.17,37.68,25.36,19.29,14.07,14.07,15.08,22.19,38.63,42.05,38.36
番石榴,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蓮霧,2018,53.15,62.47,57.65,55.15,51.23,42.22,-1.0,-1.0,-1.0,-1.0,-1.0,82.5,69.85
枇杷,2018,-1.0,185.34,156.58,135.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2018,-1.0,-1.0,-1.0,-1.0,30.0,43.44,45.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2018,-1.0,-1.0,-1.0,-1.0,93.71,83.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
龍眼,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.92,55.92,30.95,33.13,-1.0,-1.0,-1.0
棗子,2018,47.39,54.3,50.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.38
番荔枝,2018,80.39,108.5,97.67,-1.0,-1.0,-1.0,113.33,113.33,63.58,79.37,92.36,92.09,81.0
鳳梨釋迦,2018,83.82,97.13,86.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.33,88.77
楊桃,2018,23.02,20.3,19.33,30.7,-1.0,-1.0,-1.0,-1.0,20.0,22.5,21.67,20.67,-1.0
楊桃,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
酪梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,88.1,54.78,54.78,58.89,71.67,78.83,76.0,83.33
椰子,2018,7.83,8.39,8.36,7.49,8.17,8.33,13.44,13.44,14.61,14.33,12.0,10.25,9.58
檳榔,2018,1.17,8.39,1.8,2.08,3.36,3.78,2.53,2.53,1.42,1.18,1.05,0.78,0.75
彌猴桃,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
木瓜,2018,27.46,21.76,30.66,38.12,20.59,11.09,24.44,24.44,33.22,29.32,42.12,32.16,22.53
百香果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,74.53,56.44,56.44,61.59,42.34,38.56,33.84,24.77
香蕉,2018,29.04,29.89,22.59,13.09,9.52,9.71,18.16,18.16,18.56,23.24,21.28,28.25,24.06
香蕉,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,13.57,13.57,17.0,18.0,18.0,18.0,-1.0
鳳梨,2018,20.95,20.5,25.77,27.12,17.57,13.71,16.15,16.15,22.0,21.07,25.0,25.0,21.0
鳯梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅龍果,2018,-1.0,-1.0,-1.0,-1.0,61.5,36.21,26.07,26.07,29.44,29.1,28.34,38.23,-1.0
椪柑,2018,29.36,26.59,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.72,22.88,25.51
桶柑,2018,29.19,21.44,22.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文旦,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,42.69,-1.0,-1.0,-1.0
柳橙,2018,20.56,19.66,21.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.53,17.71,16.64
檸檬,2018,36.25,59.55,48.14,28.52,24.76,24.34,19.01,19.01,15.73,15.65,17.9,34.74,45.88
檸檬,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
海梨柑,2018,17.67,11.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茂谷柑,2018,29.97,29.45,33.83,22.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白柚,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.92,28.0,34.67
金柑,2018,34.57,42.0,53.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.33
李,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2018,-1.0,-1.0,-1.0,-1.0,52.5,43.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2018,-1.0,-1.0,-1.0,-1.0,-1.0,44.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2018,-1.0,-1.0,-1.0,69.0,49.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
水蜜桃,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.72,85.72,72.92,-1.0,-1.0,-1.0,-1.0
牛心柿,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.85,16.2,13.28,-1.0
甜柿,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.67,76.58,68.5
紅柿,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.33,27.67,16.67,19.0,-1.0
青梅,2018,-1.0,-1.0,52.5,49.86,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2018,-1.0,-1.0,-1.0,24.04,17.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
橫山梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,30.0,35.0,22.5,-1.0,-1.0,-1.0
新世紀梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.8,38.33,34.7,-1.0,-1.0
豐水梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,60.39,77.03,77.03,217.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新興梨,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.94,40.94,39.75,41.25,-1.0,-1.0,-1.0
五爪蘋果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金冠蘋果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
富士蘋果,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
巨峰葡萄,2018,65.25,57.5,76.67,88.33,95.0,65.0,50.35,50.35,58.58,52.13,55.42,57.29,54.29
落花生,2018,55.83,56.67,51.72,52.08,52.08,52.21,52.94,52.94,56.18,54.37,49.7,54.66,54.37
花生仁,2018,98.36,-1.0,-1.0,-1.0,98.0,97.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅豆,2018,65.29,67.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.99
綠豆,2018,81.75,80.5,80.0,80.0,80.17,88.17,89.33,89.33,92.0,93.33,94.33,93.0,-1.0
花豆,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藷,2018,12.94,13.9,12.89,13.09,9.99,9.37,8.57,8.57,14.11,16.14,15.41,17.66,14.63
烏龍茶菁,2018,-1.0,-1.0,210.0,259.06,269.57,243.73,266.0,266.0,188.67,166.67,183.95,226.56,-1.0
烏龍茶菁,2018,-1.0,-1.0,-1.0,87.5,78.17,47.67,47.33,47.33,45.33,45.0,54.83,76.33,-1.0
金萱茶菁,2018,-1.0,-1.0,124.44,151.58,152.36,130.17,116.0,116.0,94.0,97.67,116.11,131.72,-1.0
金萱茶菁,2018,-1.0,-1.0,48.3,54.0,42.83,34.17,35.17,35.17,36.17,34.67,40.06,51.89,-1.0
蓮子,2018,-1.0,-1.0,-1.0,-1.0,580.0,583.0,569.83,569.83,563.17,547.17,523.33,-1.0,-1.0
荖花,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
咖啡,2018,110.0,110.0,110.0,110.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,113.33,105.0,105.0
蜂蜜,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅甘蔗,2018,10.94,10.92,11.88,11.89,10.05,9.73,9.72,9.72,9.75,9.17,10.83,10.66,10.61
芝麻,2018,227.92,229.5,220.0,220.0,224.33,231.06,200.0,200.0,200.0,200.0,200.0,200.0,230.42
紅茶,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
綠茶,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文心蘭,2018,8.82,13.5,10.59,9.99,8.05,6.8,9.02,9.02,9.56,5.19,4.98,4.31,4.41
菊花,2018,4.82,6.47,6.22,4.59,3.4,5.75,9.07,9.07,7.17,6.24,8.45,7.43,4.22
菊,2018,3.63,4.92,4.3,3.18,3.0,4.0,5.33,5.33,5.67,4.27,5.37,4.75,3.4
玫瑰,2018,7.03,7.07,6.37,3.17,4.2,5.87,4.0,4.0,5.83,5.42,7.83,5.63,5.99
火鶴,2018,12.0,13.13,11.5,9.92,8.07,9.1,9.0,9.0,10.2,8.87,10.33,9.67,8.94
非洲菊,2018,3.32,3.75,2.28,2.55,2.51,2.68,3.79,3.79,5.58,3.8,6.5,3.19,2.05
滿天星,2018,41.17,51.5,35.33,33.0,43.67,72.0,45.5,45.5,52.83,48.83,76.5,37.0,31.17
卡斯比亞,2018,97.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2018,3.53,4.84,2.78,2.43,2.23,2.55,2.41,2.41,5.05,4.52,4.52,3.45,2.47
天堂鳥,2018,11.33,10.5,8.17,6.67,7.67,9.17,8.0,8.0,7.0,7.0,11.0,9.0,8.67
夜來香,2018,3.5,7.0,5.33,5.33,4.67,3.5,8.17,8.17,4.83,7.67,7.0,6.83,4.67
唐菖蒲,2018,3.86,3.86,2.35,2.84,4.53,4.54,4.06,4.06,4.65,5.61,4.85,4.63,2.9
葵百合,2018,-1.0,-1.0,-1.0,-1.0,-1.0,24.1,23.78,23.78,-1.0,-1.0,-1.0,-1.0,-1.0
姬百合,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2018,19.34,26.67,15.0,17.11,22.33,28.66,23.33,23.33,30.94,27.33,39.91,25.0,19.0
香水百合,2018,24.67,25.0,15.5,15.83,23.33,28.67,24.67,24.67,30.35,31.0,39.5,20.0,16.0
大理花,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
聖誕紅,2018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.67,74.17
蘿蔔,2017,5.59,5.96,6.85,8.0,9.18,8.92,-1.0,-1.0,6.2,5.82,8.32,13.3,14.89
白玉蘿蔔,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,12.83,-1.0,-1.0,-1.0
胡蘿蔔,2017,16.95,8.03,7.04,6.67,9.33,12.67,13.33,13.33,-1.0,-1.0,11.67,7.5,9.33
山藥,2017,36.75,35.0,38.67,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.33,46.0,42.5,44.17
牛蒡,2017,-1.0,-1.0,22.5,22.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
生薑,2017,-1.0,-1.0,-1.0,-1.0,53.83,41.5,39.83,39.83,42.0,40.5,38.17,-1.0,-1.0
生薑,2017,25.56,29.22,33.1,34.89,36.03,46.67,40.0,40.0,50.0,39.33,35.0,38.0,31.67
芋頭,2017,36.71,39.49,40.5,40.0,41.0,35.67,30.33,30.33,30.68,32.32,32.42,29.91,29.28
綠竹筍,2017,-1.0,-1.0,-1.0,139.17,143.47,91.11,100.55,100.55,85.53,77.07,85.25,-1.0,-1.0
烏殼綠竹筍,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
麻竹筍,2017,25.0,35.0,40.0,40.83,40.0,40.0,17.58,17.58,29.58,29.58,28.17,29.17,16.67
桂竹筍,2017,-1.0,-1.0,-1.0,39.02,23.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2017,-1.0,-1.0,-1.0,-1.0,31.67,37.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白蘆筍,2017,-1.0,-1.0,-1.0,170.0,113.0,101.83,121.33,121.33,136.33,137.0,113.67,102.0,-1.0
綠蘆筍,2017,-1.0,150.0,127.19,130.0,113.67,115.67,143.33,143.33,150.0,166.92,181.67,181.67,263.33
茭白筍,2017,-1.0,86.0,68.0,57.33,52.0,71.67,80.67,80.67,73.33,50.0,61.0,51.67,-1.0
大芥菜,2017,6.12,6.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
馬鈴薯,2017,19.33,16.96,18.39,20.87,21.5,23.0,23.83,23.83,23.83,23.67,19.0,17.33,18.67
加工麻竹筍,2017,-1.0,-1.0,-1.0,-1.0,-1.0,29.55,17.58,17.58,15.02,14.42,-1.0,-1.0,-1.0
青蔥,2017,33.16,30.11,21.76,17.32,15.91,27.08,52.96,52.96,96.3,114.65,85.1,67.78,42.8
青蔥,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蔥頭,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋蔥,2017,13.25,12.25,15.2,15.75,19.0,20.33,20.38,20.38,-1.0,-1.0,-1.0,-1.0,17.67
洋蔥,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.66,-1.0
青蒜,2017,91.05,75.01,57.18,81.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,109.67
蒜頭,2017,-1.0,169.0,102.55,104.42,106.81,96.61,93.03,93.03,99.16,99.41,97.5,51.22,87.43
荸薺,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
韭菜,2017,31.34,37.67,36.0,20.0,14.61,29.44,29.22,29.22,30.67,46.67,59.34,-1.0,34.11
韭黃,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蕹菜,2017,32.39,36.13,27.72,19.26,20.03,44.57,22.46,22.46,23.07,21.67,32.9,35.68,51.71
芹菜,2017,13.84,17.69,14.65,29.8,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藍,2017,4.61,4.32,3.67,4.77,6.69,20.81,24.64,24.64,27.33,17.24,15.34,18.76,19.34
甘藍芽,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
小白菜,2017,8.75,18.75,11.58,10.25,15.45,41.34,20.51,20.51,26.25,19.17,21.74,22.68,19.95
青江白菜,2017,10.3,22.3,12.27,12.53,14.58,44.83,20.55,20.55,24.67,17.0,27.93,22.03,16.38
結球白菜,2017,5.27,6.57,7.17,5.87,9.59,17.46,17.31,17.31,19.64,19.22,15.14,15.09,17.15
結球白菜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菠菜,2017,12.32,13.06,11.84,16.81,-1.0,51.1,69.8,69.8,87.93,74.13,58.83,49.19,34.27
芥藍,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莧菜,2017,19.45,-1.0,29.35,19.2,19.4,34.58,22.89,22.89,28.54,22.11,26.59,31.61,40.33
本島萵苣,2017,12.64,14.55,10.51,13.38,18.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
萵苣,2017,6.25,6.23,6.31,6.5,11.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茼萵,2017,18.25,20.67,31.83,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.67,35.67,61.33,35.33
花椰菜,2017,17.05,18.11,17.93,22.53,27.3,36.31,49.33,49.33,45.22,42.89,39.53,33.38,34.22
青花苔,2017,17.41,20.24,20.32,29.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金針菜,2017,605.0,600.83,625.0,675.83,626.67,661.67,673.33,673.33,693.89,664.44,641.11,637.28,600.0
越瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡瓜,2017,7.23,19.12,19.86,17.46,14.61,23.35,17.95,17.95,-1.0,-1.0,19.65,21.16,28.72
胡瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
花胡瓜,2017,17.39,23.72,24.94,26.1,22.34,32.42,25.08,25.08,25.57,29.56,42.48,30.07,36.22
冬瓜,2017,9.5,8.33,8.62,7.65,6.2,6.67,11.67,11.67,16.0,11.6,8.17,7.75,8.0
苦瓜,2017,28.17,30.1,39.19,28.46,24.53,30.01,30.59,30.59,38.47,42.32,46.48,49.26,36.64
絲瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
絲瓜,2017,15.58,13.74,15.02,17.24,15.71,29.39,18.13,18.13,19.32,18.33,18.25,20.84,25.5
扁蒲,2017,4.35,6.73,9.29,8.08,7.2,-1.0,-1.0,-1.0,-1.0,-1.0,17.8,11.0,14.75
茄子,2017,33.6,20.17,21.95,15.02,14.79,25.94,21.5,21.5,31.11,26.11,28.69,26.92,16.88
番茄,2017,29.68,13.41,11.93,11.4,18.67,40.33,54.5,54.5,35.85,48.07,38.98,47.88,41.84
小蕃茄,2017,55.5,34.67,31.44,27.17,27.0,41.67,83.0,83.0,85.0,71.0,71.0,86.11,61.61
甜椒,2017,18.0,8.92,8.64,11.81,14.77,37.24,57.11,57.11,34.58,35.36,45.68,46.14,31.1
西瓜,2017,-1.0,-1.0,15.0,13.55,14.43,12.25,15.58,15.58,-1.0,-1.0,-1.0,-1.0,-1.0
西瓜,2017,-1.0,-1.0,10.83,10.75,10.83,9.36,16.12,16.12,-1.0,-1.0,11.75,-1.0,-1.0
西瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2017,39.82,39.7,41.26,39.17,35.06,27.53,35.89,35.89,22.33,23.78,27.39,31.12,31.17
洋香瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香瓜,2017,-1.0,-1.0,52.67,39.89,22.98,26.17,28.28,28.28,26.75,34.58,30.11,27.5,-1.0
敏豆,2017,27.5,37.17,51.33,62.17,63.22,86.37,85.58,85.58,71.12,72.69,76.22,62.75,66.66
豇豆,2017,24.0,27.66,38.06,37.75,28.97,32.33,30.42,30.42,42.07,42.33,43.5,49.17,53.56
豌豆,2017,45.22,48.96,75.07,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,138.5,108.82
甜豌豆,2017,36.75,35.0,44.33,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
毛豆,2017,28.35,14.7,14.25,14.25,14.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菜豆,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
辣椒,2017,90.0,47.02,31.89,26.25,22.59,17.53,48.08,48.08,85.63,103.12,84.41,102.91,103.96
玉米筍,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜玉米,2017,12.26,13.85,21.97,17.77,11.3,12.11,18.0,18.0,21.35,17.11,17.62,28.22,23.86
蓮藕,2017,35.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.33,34.67,22.5,35.33,42.33
草莓,2017,132.5,296.11,183.89,116.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,190.83
洋菇,2017,81.67,76.89,86.0,98.83,106.83,108.0,87.67,87.67,95.0,98.33,112.5,122.78,117.25
香菇,2017,1527.5,1535.0,1497.5,1474.17,1466.67,1477.5,1475.0,1475.0,1456.67,1475.0,1482.5,1498.33,1500.0
香菇,2017,103.33,103.89,101.67,103.22,102.67,103.33,105.56,105.56,106.67,110.0,113.33,111.11,108.89
木耳,2017,70.0,72.0,68.67,58.67,51.33,59.0,66.67,66.67,59.67,66.0,62.83,66.17,68.67
鮑魚菇,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
杏鮑菇,2017,-1.0,-1.0,-1.0,-1.0,-1.0,72.11,73.0,73.0,72.22,76.0,77.33,81.89,83.11
菱角,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
葡萄柚,2017,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,17.44,19.94,17.0
芒果,2017,-1.0,-1.0,-1.0,85.66,64.59,45.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,62.68,47.7,47.7,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,37.8,28.97,28.97,36.75,-1.0,-1.0,-1.0,-1.0
番石榴,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2017,66.93,63.08,47.97,14.74,16.46,24.33,19.26,19.26,23.19,32.28,28.88,37.03,26.01
番石榴,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蓮霧,2017,80.25,106.17,69.39,48.76,44.69,34.08,14.4,14.4,-1.0,-1.0,-1.0,62.92,72.63
枇杷,2017,-1.0,79.0,147.72,137.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2017,-1.0,-1.0,-1.0,-1.0,-1.0,46.81,50.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
