fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
玉米筍,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,75.23
甜玉米,2020,18.38,24.34,18.37,18.65,12.35,13.9,19.94,19.94,17.74,20.89,24.19,54.5,-1.0
蓮藕,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.33,38.33,46.5,120.0,19.36
草莓,2020,175.34,135.19,114.0,100.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,120.0
洋菇,2020,103.33,98.89,96.67,120.0,120.0,120.0,120.0,120.0,120.0,120.0,-1.0,74.67,153.0
香菇,2020,1453.75,1457.5,1510.0,1521.67,1505.0,1505.0,1492.5,1492.5,1496.67,1505.0,1513.33,54.5,102.5
香菇,2020,106.5,105.0,105.0,105.0,104.33,105.11,105.11,105.11,105.11,106.22,104.56,54.5,1498.33
木耳,2020,57.09,55.83,60.56,32.67,40.0,26.67,24.0,24.0,32.67,50.17,-1.0,50.0,101.78
鮑魚菇,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,57.0
杏鮑菇,2020,-1.0,-1.0,-1.0,-1.0,-1.0,55.55,55.0,55.0,61.78,73.33,76.33,-1.0,-1.0
葡萄柚,2020,18.5,25.67,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,54.5,72.11
芒果,2020,-1.0,-1.0,-1.0,54.63,45.08,44.78,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,16.0
芒果,2020,-1.0,-1.0,-1.0,-1.0,49.92,41.29,41.44,41.44,-1.0,-1.0,-1.0,54.5,-1.0
芒果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,23.86,23.31,23.31,34.98,-1.0,-1.0,54.5,-1.0
番石榴,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.22,-1.0
番石榴,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
番石榴,2020,34.3,27.79,20.2,17.13,21.53,14.42,13.92,13.92,24.15,27.86,-1.0,54.5,-1.0
番石榴,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,26.7
蓮霧,2020,75.5,58.76,58.13,57.25,52.58,41.19,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
枇杷,2020,-1.0,85.56,147.8,155.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.67,68.9
荔枝,2020,-1.0,-1.0,-1.0,-1.0,55.0,42.25,38.3,38.3,-1.0,-1.0,-1.0,54.5,-1.0
荔枝,2020,-1.0,-1.0,-1.0,-1.0,108.81,81.7,-1.0,-1.0,-1.0,-1.0,-1.0,54.5,-1.0
龍眼,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.58,62.58,43.07,43.47,-1.0,54.5,-1.0
棗子,2020,75.09,43.67,52.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番荔枝,2020,75.75,81.7,104.22,-1.0,-1.0,-1.0,91.67,91.67,67.17,78.6,-1.0,-1.0,62.75
鳳梨釋迦,2020,85.01,66.79,75.86,97.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.53
楊桃,2020,27.25,20.67,20.67,24.33,-1.0,-1.0,-1.0,-1.0,17.15,23.0,-1.0,-1.0,70.28
酪梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,84.88,53.0,53.0,52.78,78.78,-1.0,-1.0,25.5
椰子,2020,8.09,7.99,7.36,8.07,9.17,8.72,9.33,9.33,9.72,11.17,-1.0,-1.0,85.33
檳榔,2020,1.06,1.33,1.67,1.65,2.03,1.55,0.66,0.66,1.36,1.39,-1.0,-1.0,10.0
彌猴桃,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.09
木瓜,2020,28.58,22.79,30.41,26.73,24.85,25.72,25.98,25.98,20.28,20.71,-1.0,-1.0,-1.0
百香果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,70.17,58.92,58.92,54.88,45.6,-1.0,-1.0,36.1
青香蕉,2020,21.51,21.8,32.73,33.85,21.68,12.93,10.7,10.7,17.24,9.73,-1.0,-1.0,29.85
鳳梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,18.74,17.91,17.91,17.84,18.3,-1.0,-1.0,9.07
鳳梨,2020,30.0,23.33,17.93,17.45,18.71,15.24,21.42,21.42,28.2,24.67,-1.0,-1.0,-1.0
